task,seed,epoch,train_acc,test_acc,status
addition,0,1,0.006735588972431077,0.007674236491777604,failed-to-learn
addition,0,2,0.010808270676691729,0.005168363351605325,failed-to-learn
addition,0,3,0.011904761904761904,0.0045418950665622555,failed-to-learn
addition,0,4,0.01394110275689223,0.004385277995301488,failed-to-learn
addition,0,5,0.01425438596491228,0.0031323414252153485,failed-to-learn
addition,0,6,0.01331453634085213,0.004385277995301488,failed-to-learn
addition,0,7,0.015037593984962405,0.0023492560689115116,failed-to-learn
addition,0,8,0.016604010025062656,0.0020360219263899767,failed-to-learn
addition,0,9,0.01550751879699248,0.0020360219263899767,failed-to-learn
addition,0,10,0.016604010025062656,0.0017227877838684417,failed-to-learn
addition,0,11,0.019423558897243107,0.0009397024275646045,failed-to-learn
addition,0,12,0.01864035087719298,0.001096319498825372,failed-to-learn
addition,0,13,0.020050125313283207,0.0007830853563038371,failed-to-learn
addition,0,14,0.019736842105263157,0.00046985121378230227,failed-to-learn
addition,0,15,0.019893483709273182,0.00031323414252153485,failed-to-learn
addition,0,16,0.022869674185463658,0.0,failed-to-learn
addition,0,17,0.024279448621553883,0.00046985121378230227,failed-to-learn
addition,0,18,0.023026315789473683,0.00031323414252153485,failed-to-learn
addition,0,19,0.02506265664160401,0.00031323414252153485,failed-to-learn
addition,0,20,0.026785714285714284,0.00046985121378230227,failed-to-learn
addition,0,21,0.028352130325814535,0.00031323414252153485,failed-to-learn
addition,0,22,0.028665413533834585,0.00046985121378230227,failed-to-learn
addition,0,23,0.026472431077694234,0.00046985121378230227,failed-to-learn
addition,0,24,0.030545112781954886,0.00031323414252153485,failed-to-learn
addition,0,25,0.03195488721804511,0.00031323414252153485,failed-to-learn
addition,0,26,0.03164160401002506,0.00031323414252153485,failed-to-learn
addition,0,27,0.03352130325814536,0.00031323414252153485,failed-to-learn
addition,0,28,0.03571428571428571,0.00015661707126076742,failed-to-learn
addition,0,29,0.03540100250626566,0.00046985121378230227,failed-to-learn
addition,0,30,0.03743734335839599,0.00015661707126076742,failed-to-learn
addition,0,31,0.03900375939849624,0.00046985121378230227,failed-to-learn
addition,0,32,0.040100250626566414,0.00031323414252153485,failed-to-learn
addition,0,33,0.040413533834586464,0.00015661707126076742,failed-to-learn
addition,0,34,0.041040100250626564,0.00031323414252153485,failed-to-learn
addition,0,35,0.044956140350877194,0.00046985121378230227,failed-to-learn
addition,0,36,0.043546365914786965,0.00015661707126076742,failed-to-learn
addition,0,37,0.04338972431077694,0.00015661707126076742,failed-to-learn
addition,0,38,0.045739348370927316,0.0,failed-to-learn
addition,0,39,0.045112781954887216,0.0,failed-to-learn
addition,0,40,0.044956140350877194,0.00015661707126076742,failed-to-learn
addition,0,41,0.046992481203007516,0.0,failed-to-learn
addition,0,42,0.04887218045112782,0.0,failed-to-learn
addition,0,43,0.046679197994987466,0.00015661707126076742,failed-to-learn
addition,0,44,0.048715538847117795,0.00015661707126076742,failed-to-learn
addition,0,45,0.05200501253132832,0.00031323414252153485,failed-to-learn
addition,0,46,0.05388471177944862,0.00015661707126076742,failed-to-learn
addition,0,47,0.05278822055137845,0.00015661707126076742,failed-to-learn
addition,0,48,0.05404135338345865,0.00015661707126076742,failed-to-learn
addition,0,49,0.05607769423558897,0.00015661707126076742,failed-to-learn
addition,0,50,0.0599937343358396,0.00015661707126076742,failed-to-learn
addition,0,51,0.06046365914786967,0.00015661707126076742,failed-to-learn
addition,0,52,0.06109022556390977,0.00015661707126076742,failed-to-learn
addition,0,53,0.06422305764411028,0.00015661707126076742,failed-to-learn
addition,0,54,0.06672932330827068,0.00015661707126076742,failed-to-learn
addition,0,55,0.06782581453634086,0.00015661707126076742,failed-to-learn
addition,0,56,0.0681390977443609,0.00015661707126076742,failed-to-learn
addition,0,57,0.06986215538847118,0.00015661707126076742,failed-to-learn
addition,0,58,0.07033208020050126,0.00015661707126076742,failed-to-learn
addition,0,59,0.07221177944862156,0.00031323414252153485,failed-to-learn
addition,0,60,0.0737781954887218,0.00031323414252153485,failed-to-learn
addition,0,61,0.07550125313283208,0.00031323414252153485,failed-to-learn
addition,0,62,0.07722431077694236,0.00031323414252153485,failed-to-learn
addition,0,63,0.08051378446115288,0.00031323414252153485,failed-to-learn
addition,0,64,0.08411654135338346,0.0,failed-to-learn
addition,0,65,0.08458646616541353,0.00046985121378230227,failed-to-learn
addition,0,66,0.08818922305764411,0.00046985121378230227,failed-to-learn
addition,0,67,0.08709273182957393,0.00015661707126076742,failed-to-learn
addition,0,68,0.08959899749373433,0.0006264682850430697,failed-to-learn
addition,0,69,0.09226190476190477,0.00046985121378230227,failed-to-learn
addition,0,70,0.09273182957393483,0.00046985121378230227,failed-to-learn
addition,0,71,0.09492481203007519,0.00046985121378230227,failed-to-learn
addition,0,72,0.09743107769423559,0.0009397024275646045,failed-to-learn
addition,0,73,0.09774436090225563,0.0007830853563038371,failed-to-learn
addition,0,74,0.09931077694235589,0.0009397024275646045,failed-to-learn
addition,0,75,0.10369674185463659,0.0014095536413469068,failed-to-learn
addition,0,76,0.10588972431077694,0.0012529365700861394,failed-to-learn
addition,0,77,0.10479323308270677,0.0014095536413469068,failed-to-learn
addition,0,78,0.10902255639097744,0.0014095536413469068,failed-to-learn
addition,0,79,0.10980576441102757,0.0014095536413469068,failed-to-learn
addition,0,80,0.11403508771929824,0.0015661707126076742,failed-to-learn
addition,0,81,0.11466165413533834,0.0015661707126076742,failed-to-learn
addition,0,82,0.1162280701754386,0.0017227877838684417,failed-to-learn
addition,0,83,0.11842105263157894,0.0017227877838684417,failed-to-learn
addition,0,84,0.12045739348370928,0.0015661707126076742,failed-to-learn
addition,0,85,0.1212406015037594,0.0017227877838684417,failed-to-learn
addition,0,86,0.12265037593984962,0.0020360219263899767,failed-to-learn
addition,0,87,0.125,0.0020360219263899767,failed-to-learn
addition,0,88,0.12546992481203006,0.001879404855129209,failed-to-learn
addition,0,89,0.12656641604010024,0.001879404855129209,failed-to-learn
addition,0,90,0.13314536340852132,0.0020360219263899767,failed-to-learn
addition,0,91,0.13424185463659147,0.0020360219263899767,failed-to-learn
addition,0,92,0.13424185463659147,0.001879404855129209,failed-to-learn
addition,0,93,0.13690476190476192,0.002192638997650744,failed-to-learn
addition,0,94,0.13659147869674185,0.0020360219263899767,failed-to-learn
addition,0,95,0.14113408521303258,0.002192638997650744,failed-to-learn
addition,0,96,0.14270050125313283,0.0026624902114330464,failed-to-learn
addition,0,97,0.14442355889724312,0.001879404855129209,failed-to-learn
addition,0,98,0.1475563909774436,0.0028191072826938136,failed-to-learn
addition,0,99,0.15037593984962405,0.0026624902114330464,failed-to-learn
addition,0,100,0.15037593984962405,0.0031323414252153485,failed-to-learn
addition,0,101,0.15335213032581455,0.0023492560689115116,failed-to-learn
addition,0,102,0.15664160401002505,0.0028191072826938136,failed-to-learn
addition,0,103,0.15523182957393483,0.0029757243539545813,failed-to-learn
